,1. open,2. high,3. low,4. close,5. volume,IWO_5d_EMA,IWO_10d_EMA,IWO_150d_EMA,EMA_8,EMA_21,SMA_50,SMA_200
2020-07-02,103.65,107.7,102.3,107.27,9060979.0,205.4972,204.5215,192.6051,104.1989,100.5894,89.0197,65.2102
2020-07-01,100.0,103.645,99.25,102.95,5355583.0,204.5906,203.9018,192.4077,103.1986,99.8783,88.2519,65.0283
2020-06-30,98.44,101.38,97.33,100.29,5056172.0,203.7195,203.3615,192.2208,103.071,99.5016,87.589,64.8544
2020-06-29,99.77,99.77,94.18,98.1,6304608.0,202.4177,202.7034,192.0315,103.5541,99.3138,86.9654,64.6991
2020-06-26,104.0,104.0,97.52,98.79,17438536.0,202.0409,202.5994,191.882,104.6353,99.2682,86.2824,64.5622
2020-06-25,103.8,108.3357,103.64,105.71,6112378.0,203.7347,203.4763,191.7911,104.8168,98.795,85.4914,64.3969
2020-06-24,103.83,106.095,100.5,103.7,4958050.0,203.6822,203.3956,191.6294,103.8115,97.8409,84.5775,64.2142
2020-06-23,105.8,107.3,103.15,104.27,8600862.0,205.0447,203.9375,191.5042,103.159,97.0155,83.6956,64.0643
2020-06-22,101.34,105.56,100.26,105.02,8418191.0,203.857,203.1635,191.2905,101.9759,95.9871,82.737,63.9353
2020-06-19,103.0,104.89,100.64,101.08,10744141.0,202.8833,202.5767,191.0957,100.9518,95.0298,81.8416,63.8434
2020-06-18,98.18,101.87,97.86,101.61,9565135.0,202.7842,202.4645,190.9348,99.8267,94.0438,80.9614,63.7578
2020-06-17,101.64,101.7427,97.77,98.69,7637680.0,202.4908,202.2631,190.7679,99.2429,93.2612,80.15,63.6675
2020-06-16,100.0,101.68,94.69,101.04,9814259.0,202.1606,202.0657,190.6017,98.5286,92.413,79.3257,63.5835
2020-06-15,92.65,100.0,91.5,99.02,9025336.0,200.5132,201.3124,190.4023,97.6282,91.4863,78.4771,63.5218
2020-06-12,97.9865,97.9865,91.05,93.12,6452416.0,200.2164,201.3581,190.2586,96.9506,90.6349,77.6155,63.4594
2020-06-11,94.85,100.12,94.22,95.04,8323151.0,202.4832,202.6193,190.1858,96.6546,89.8998,76.7868,63.4193
2020-06-10,95.0,97.74,94.33,97.22,5816775.0,207.7057,204.9706,190.1609,95.6645,88.8778,75.985,63.3729
2020-06-09,96.0,96.88,93.62,93.9,4351106.0,208.3399,204.6447,189.9425,95.0714,87.9915,75.2268,63.342
2020-06-08,93.87,97.5,93.62,95.43,7482362.0,207.6034,203.4962,189.6757,94.5547,87.1027,74.4866,63.3405
2020-06-05,92.73,95.98,88.87,93.93,9600631.0,205.0198,201.4353,189.3658,93.7132,86.063,73.7186,63.3578
2020-06-04,94.23,98.49,91.83,95.98,16371219.0,202.5684,199.5492,189.0898,93.0655,85.0713,72.989,63.3873
2020-06-03,99.98,103.8,95.6,98.1,21051536.0,201.9235,198.5916,188.8916,91.5157,83.7294,72.1922,63.4022
2020-06-02,96.59,96.8,90.03,92.25,12883326.0,200.1595,197.0672,188.6693,88.0059,81.7223,71.1762,63.3737
2020-06-01,90.56,95.8,90.21,94.84,12028839.0,199.0172,195.8723,188.4844,85.4933,80.2146,70.2796,63.3754
2020-05-29,83.19,88.0,81.2,87.81,13487761.0,198.0206,194.7306,188.3163,82.5485,78.656,69.2534,63.3851
2020-05-28,78.2,82.28,78.0,79.5,3816778.0,197.7556,193.8817,188.1789,80.9909,77.7216,68.3228,63.4476
2020-05-27,79.0,79.0,71.5101,77.99,7021299.0,197.149,192.7512,188.0341,80.6226,77.2658,67.4432,63.5272
2020-05-26,83.39,83.4,77.95,79.35,4122386.0,194.0882,190.4136,187.8296,81.0862,77.0924,66.5832,63.6222
2020-05-22,81.0,82.7,80.0,82.22,2823015.0,191.8221,188.5898,187.6847,80.4251,76.4616,65.7168,63.6645
2020-05-21,81.62,81.87,78.8148,80.6,2056617.0,190.2105,187.1552,187.5859,79.7752,75.8378,64.8668,63.6832
2020-05-20,80.72,81.74,79.1503,80.97,3564140.0,188.5299,185.7294,187.5056,79.1766,75.2345,64.1554,63.7227
2020-05-19,76.53,79.58,76.5,78.55,2675401.0,186.0886,184.022,187.4263,78.4442,74.584,63.49,63.7486
2020-05-18,78.11,78.99,75.78,76.1,2869357.0,184.966,183.0639,187.4141,78.1197,74.0844,62.8762,63.8146
2020-05-15,77.5,80.29,76.33,77.14,3292902.0,181.6938,181.1868,187.3591,77.8711,73.5938,62.3938,63.8912
2020-05-14,76.0,77.4,74.53,77.14,3322230.0,181.2466,180.8755,187.4232,77.18,72.9242,61.9368,63.9638
